Positive Masculine words,Vanilla pm,Bolu pm,Wino pm,Wino + Bolu pm,Negative Masculine words,Vanilla nm,Bolu nm,Wino nm,Wino + Bolu nm,Neutral Masculine words,Vanilla neutm,Bolu neutm,Wino neutm,Wino + Bolu neutm,Positive Feminine words,Vanilla pf,Bolu pf,Wino pf,Wino + Bolu pf,Negative Feminine words,Vanilla nf,Bolu nf,Wino nf,Wino + Bolu nf,Neutral Feminine words,Vanilla neutf,Bolu neutf,Wino neutf,Wino + Bolu neutf
energetic,0.034838803,5.113298673364852e-11,0.0024323687,2.940915275195799e-09,dishonest,0.07346423,7.604219712242788e-09,0.017034635,1.1677392400266662e-08,carolingian,NaN,NaN,NaN,NaN,proud,0.061217032,6.35139328630796e-09,0.0010398217,5.991303245189705e-09,nightmarish,0.071572006,1.969610718965953e-08,0.02440085,5.482659826139269e-09,egyptian,NaN,NaN,NaN,NaN
blameless,0.04491954,3.520340290975865e-09,0.007921495,1.1188960563623951e-08,mischievous,0.01168027,2.130661849730764e-08,0.0044622337,3.3296385856806943e-09,collective,0.018087089,7.123607842496327e-09,0.0024433285,6.562129575837794e-09,merry,0.04186351,3.3738007526595837e-10,0.0074184425,9.198658501574641e-10,hysterical,0.14560963,1.828893282651567e-08,0.02166171,1.0413091215688564e-08,american,0.0811035,9.189178140633913e-09,0.015121557,4.749977314255638e-09
financial,0.08360311,4.247427576320462e-09,0.0113261435,4.643476707311134e-09,woeful,0.042985138,1.768316223484112e-08,0.013389152,9.192846296690593e-09,parthian,NaN,NaN,NaN,NaN,amiable,0.08640098,3.2616661801987412e-09,0.0040758625,5.463569485719688e-09,scornful,0.03561879,2.844785310096576e-09,0.00064891577,4.380518558999569e-09,matronly,0.1246199,1.4447407832574033e-08,0.01863392,6.3850090006867255e-09
valiant,0.04025894,1.064869470379648e-09,0.026868578,7.825056262678043e-09,hopeless,0.021108806,1.1863150045643422e-08,0.011477947,8.135200568748502e-09,military,0.18816926,1.2219147915715212e-10,0.011267632,8.252205530023815e-09,pleasant,0.06171374,1.6410538993677504e-08,0.010602444,2.3949689453850453e-10,horrible,0.016453631,3.9437699425604045e-09,0.00024600327,3.6193931844674676e-09,marriageable,0.14478646,2.038119652214565e-08,0.002523847,6.580944081346907e-09
attentive,0.013401873,1.4621535412984166e-08,0.009595312,1.9563925757193346e-09,imperfect,0.00046136975,1.7328843554542672e-08,0.009627625,2.0762447316968746e-09,local,0.12526196,2.8299337734294383e-09,0.0021214103,9.849603892914116e-09,pure,0.11476159,2.8724843094407593e-09,0.039705582,6.492031023874745e-09,blonde,0.12355488,8.156009922988261e-09,0.037450515,5.779450864065727e-09,unhatched,NaN,NaN,NaN,NaN
neat,0.013583272,8.626740172906766e-10,0.011965327,7.278153760226225e-09,stubborn,0.06720648,1.4861823299794352e-08,0.02954885,1.027700904931983e-08,danish,NaN,NaN,NaN,NaN,talented,0.005061701,3.953723293204092e-09,0.0037323982,3.094446358875569e-09,uncomfortable,0.0402548,3.337002896230956e-11,0.0065191165,5.813586695380124e-10,nubile,NaN,NaN,NaN,NaN
desirable,0.016527608,7.490256526132555e-09,0.021581534,7.865805451423569e-09,awkward,0.014869943,4.494439542757078e-11,0.0043451237,5.441435497501035e-09,germanic,NaN,NaN,NaN,NaN,nice,0.07357247,9.03829475151774e-09,0.027068019,1.0353175122768121e-09,neurotic,0.018236246,8.725124369529658e-09,0.02716581,2.0342098092790417e-09,pretty,0.14230902,4.809969020302951e-09,0.044113398,3.391881997494295e-09
daring,0.020978391,2.586597025455717e-08,0.029300496,8.367949638765637e-09,reluctant,0.07767525,6.874571023551823e-09,0.016798139,1.3607063517606655e-08,homeric,NaN,NaN,NaN,NaN,sprightly,0.0010131747,1.0023437059525353e-08,0.004355276,5.881812072117132e-09,horrid,0.015131897,9.28433391603721e-09,0.006031731,3.481238422531341e-09,mexican,NaN,NaN,NaN,NaN
ethical,0.047489498,1.4307783416378506e-08,0.026066184,6.468270898063455e-09,discontented,0.05496651,3.798636259710886e-09,0.0035503134,2.7148468959015126e-09,dutch,NaN,NaN,NaN,NaN,memorable,0.0017738752,3.6036514189374813e-09,0.013695918,7.818075686838455e-09,sad,0.13090073,1.5742035773883e-08,0.0026958361,2.001880420113289e-09,winged,0.04448548,4.788603194527674e-09,0.0034525506,2.3697984130599536e-09
brilliant,0.103685126,3.633261358437778e-09,0.020512007,6.460658202867009e-09,shameful,0.026677817,2.157331879110158e-09,0.0101061,6.58009834467177e-09,ecclesiastical,0.04139099,4.459176989463076e-09,0.01210884,6.182741735250019e-09,virtuous,0.06581779,5.425217150523132e-09,0.03886772,8.00875918360866e-09,diabetic,NaN,NaN,NaN,NaN,young,0.0106557235,1.8470425744432362e-09,0.013889968,1.547980227334378e-08
genial,0.0003750436,1.821690356895722e-08,0.0035029836,1.1828943310976392e-09,pitiful,0.06550239,4.258687302111097e-09,0.0010962598,8.321751614193129e-09,male,0.0067687184,0.20633312075612026,0.04339522,0.07357607534497944,admirable,0.007821444,1.715552935821485e-09,0.024206445,7.38209687128899e-09,helpless,0.09655088,9.184493041103359e-09,0.007734567,1.8167604490249012e-08,buxom,0.034947716,9.263123375985449e-10,0.0345704,3.590293852148707e-09
fabulous,0.030124038,3.1903008845812764e-09,0.02288464,6.489257829006556e-09,dull,0.01462226,4.354207425172341e-09,0.03704165,1.7555041587069553e-09,stoic,5.093217e-05,7.549548958207808e-09,0.026869848,4.363622685410462e-09,celebrated,0.032026302,7.745099277201017e-09,0.0047511607,1.5059286359586643e-08,unfortunate,0.008306284,1.1228822819481232e-10,0.012246918,1.705679183311437e-08,ancient,0.081901155,1.4502356329715305e-09,0.017704051,9.818488570789707e-09
splendid,0.019878179,8.330343664875173e-09,0.003858596,2.9750968980057912e-09,doomed,0.03697268,5.652891696406037e-09,0.01575835,1.0113004045297913e-09,immediate,0.032196775,9.610033741003221e-09,0.016096607,2.2236270186271057e-09,exquisite,0.08756944,8.000681547826183e-09,0.046820424,9.146690065076069e-09,grecian,NaN,NaN,NaN,NaN,blonde,0.12355488,8.156009922988261e-09,0.037450515,5.779450864065727e-09
creative,0.036424495,1.6487372404838663e-09,0.013242647,5.397889343838891e-09,vile,0.06690587,3.8789214965029295e-09,0.038310684,1.768388394052245e-09,hanoverian,NaN,NaN,NaN,NaN,thrifty,0.040448666,3.248958251739209e-09,0.000849694,8.527011034764609e-09,unequal,0.04792145,1.402918600734715e-09,0.013885409,4.188768244588192e-09,irish,0.011189004,5.68005437996677e-09,0.00032678992,7.837950913303082e-09
friendly,0.013214901,3.583566492160184e-09,0.00064014643,1.6187496898467657e-09,financial,0.08360311,4.247427576320462e-09,0.0113261435,4.643476707311134e-09,private,0.06585176,1.0779811466209155e-08,0.0075452817,1.722717523928302e-08,witty,0.0374417,7.567996979096492e-09,0.026272895,4.156674979043096e-09,fragile,0.09221371,2.167187671507642e-09,0.01288468,7.591818444729892e-09,syrian,NaN,NaN,NaN,NaN
rich,0.050672844,3.7724085383272765e-09,0.029905926,5.051942260358988e-09,false,0.0066533014,2.6561380178646843e-09,0.00932204,3.3421141271139376e-09,general,0.027967565,1.867915627729033e-09,0.022611536,2.5162665978628596e-09,aristocratic,0.004767306,3.064275055919552e-09,0.0032826588,3.5604121456644933e-09,hideous,0.033276863,8.891529609811322e-09,0.01681897,1.0059255865779715e-08,blond,0.04626605,4.995265999452325e-09,0.0006124892,6.894853146754976e-09
