Vanilla model + Positive Masculine words,Vanilla model + Negative Masculine words,Vanilla model + Neutral Masculine words,Vanilla model + Positive Feminine words,Vanilla model + Negative Feminine words,Vanilla model + Neutral Feminine words,Bolu model + Positive Masculine words,Bolu model + Negative Masculine words,Bolu model + Neutral Masculine words,Bolu model + Positive Feminine words,Bolu model + Negative Feminine words,Bolu model + Neutral Feminine words,Wino model + Positive Masculine words,Wino model + Negative Masculine words,Wino model + Neutral Masculine words,Wino model + Positive Feminine words,Wino model + Negative Feminine words,Wino model + Neutral Feminine words,Wino and Bolu model + Positive Masculine words,Wino and Bolu model + Negative Masculine words,Wino and Bolu model + Neutral Masculine words,Wino and Bolu model + Positive Feminine words,Wino and Bolu model + Negative Feminine words,Wino and Bolu model + Neutral Feminine words
0.016527608,0.014869943,NaN,0.07357247,0.018236246,0.14230902,7.490256526132555e-09,4.494439542757078e-11,NaN,9.03829475151774e-09,8.725124369529658e-09,4.809969020302951e-09,0.021581534,0.0043451237,NaN,0.027068019,0.02716581,0.044113398,7.865805451423569e-09,5.441435497501035e-09,NaN,1.0353175122768121e-09,2.0342098092790417e-09,3.391881997494295e-09
0.020978391,0.07767525,NaN,0.0010131747,0.015131897,NaN,2.586597025455717e-08,6.874571023551823e-09,NaN,1.0023437059525353e-08,9.28433391603721e-09,NaN,0.029300496,0.016798139,NaN,0.004355276,0.006031731,NaN,8.367949638765637e-09,1.3607063517606655e-08,NaN,5.881812072117132e-09,3.481238422531341e-09,NaN
0.047489498,0.05496651,NaN,0.0017738752,0.13090073,0.04448548,1.4307783416378506e-08,3.798636259710886e-09,NaN,3.6036514189374813e-09,1.5742035773883e-08,4.788603194527674e-09,0.026066184,0.0035503134,NaN,0.013695918,0.0026958361,0.0034525506,6.468270898063455e-09,2.7148468959015126e-09,NaN,7.818075686838455e-09,2.001880420113289e-09,2.3697984130599536e-09
0.103685126,0.026677817,0.04139099,0.06581779,NaN,0.0106557235,3.633261358437778e-09,2.157331879110158e-09,4.459176989463076e-09,5.425217150523132e-09,NaN,1.8470425744432362e-09,0.020512007,0.0101061,0.01210884,0.03886772,NaN,0.013889968,6.460658202867009e-09,6.58009834467177e-09,6.182741735250019e-09,8.00875918360866e-09,NaN,1.547980227334378e-08
0.0003750436,0.06550239,0.0067687184,0.007821444,0.09655088,0.034947716,1.821690356895722e-08,4.258687302111097e-09,0.20633312075612026,1.715552935821485e-09,9.184493041103359e-09,9.263123375985449e-10,0.0035029836,0.0010962598,0.04339522,0.024206445,0.007734567,0.0345704,1.1828943310976392e-09,8.321751614193129e-09,0.07357607534497944,7.38209687128899e-09,1.8167604490249012e-08,3.590293852148707e-09
0.030124038,0.01462226,5.093217e-05,0.032026302,0.008306284,0.081901155,3.1903008845812764e-09,4.354207425172341e-09,7.549548958207808e-09,7.745099277201017e-09,1.1228822819481232e-10,1.4502356329715305e-09,0.02288464,0.03704165,0.026869848,0.0047511607,0.012246918,0.017704051,6.489257829006556e-09,1.7555041587069553e-09,4.363622685410462e-09,1.5059286359586643e-08,1.705679183311437e-08,9.818488570789707e-09
0.019878179,0.03697268,0.032196775,0.08756944,NaN,0.12355488,8.330343664875173e-09,5.652891696406037e-09,9.610033741003221e-09,8.000681547826183e-09,NaN,8.156009922988261e-09,0.003858596,0.01575835,0.016096607,0.046820424,NaN,0.037450515,2.9750968980057912e-09,1.0113004045297913e-09,2.2236270186271057e-09,9.146690065076069e-09,NaN,5.779450864065727e-09
0.036424495,0.06690587,NaN,0.040448666,0.04792145,0.011189004,1.6487372404838663e-09,3.8789214965029295e-09,NaN,3.248958251739209e-09,1.402918600734715e-09,5.68005437996677e-09,0.013242647,0.038310684,NaN,0.000849694,0.013885409,0.00032678992,5.397889343838891e-09,1.768388394052245e-09,NaN,8.527011034764609e-09,4.188768244588192e-09,7.837950913303082e-09
0.013214901,0.08360311,0.06585176,0.0374417,0.09221371,NaN,3.583566492160184e-09,4.247427576320462e-09,1.0779811466209155e-08,7.567996979096492e-09,2.167187671507642e-09,NaN,0.00064014643,0.0113261435,0.0075452817,0.026272895,0.01288468,NaN,1.6187496898467657e-09,4.643476707311134e-09,1.722717523928302e-08,4.156674979043096e-09,7.591818444729892e-09,NaN
0.050672844,0.0066533014,0.027967565,0.004767306,0.033276863,0.04626605,3.7724085383272765e-09,2.6561380178646843e-09,1.867915627729033e-09,3.064275055919552e-09,8.891529609811322e-09,4.995265999452325e-09,0.029905926,0.00932204,0.022611536,0.0032826588,0.01681897,0.0006124892,5.051942260358988e-09,3.3421141271139376e-09,2.5162665978628596e-09,3.5604121456644933e-09,1.0059255865779715e-08,6.894853146754976e-09
0.02295443,0.024755545,0.004342024,0.076959014,0.059155375,0.0056730807,4.692379478032915e-09,4.3264850035917846e-11,1.0716667005195024e-08,1.1239036035171068e-08,7.733111789809399e-10,7.11944556780475e-09,0.007346114,0.0003567636,0.0038868785,0.020261109,0.02588005,0.00018272921,7.89562636105412e-09,8.221393926755027e-09,1.063494029646117e-08,5.967240729320977e-09,2.1158549017886996e-08,2.1603440564232912e-10
0.09850476,0.039258126,0.00627812,0.058295466,0.03443645,NaN,7.119951691728988e-09,7.508526953838024e-09,8.837437712183593e-09,4.208634690749946e-09,2.903316563291486e-09,NaN,0.025832068,0.00728935,0.0076398626,0.008971959,0.009645004,NaN,2.550212437057997e-09,7.522771600099176e-09,1.2772718412448758e-08,4.466916531109533e-09,2.3986908084805414e-09,NaN
0.07836962,0.015680676,0.038114227,0.034947716,0.06502727,NaN,1.5330157976389813e-09,1.1557517533289374e-08,4.989957821943669e-09,9.263123375985449e-10,4.1789224858312934e-09,NaN,0.010213837,0.006066179,0.038212404,0.0345704,0.006050721,NaN,8.827924197207793e-09,1.242674117774012e-08,8.812887086762089e-10,3.590293852148707e-09,2.6448873508000403e-09,NaN
0.040656008,0.006997645,0.011561744,0.09690109,0.17702763,0.010265328,3.951591942552568e-09,4.45703401963371e-09,6.365700772059668e-09,1.5745134140932038e-08,2.382231797243284e-09,1.1670985677891821e-08,0.010587641,0.0015371703,0.012854844,0.023262396,0.037601642,0.014207169,2.9314611814379443e-09,1.0299620177567359e-08,6.725169657273433e-09,4.092890221185641e-09,1.976273126727936e-09,4.478633575111246e-09
0.0069518164,0.049594738,0.100086406,0.0750316,0.0034787282,NaN,8.722500902114128e-09,4.326853375591355e-09,6.775402260073005e-09,2.739752591462974e-10,7.432433779541725e-09,NaN,0.0031370614,0.012717009,0.004695542,0.027859405,0.0011165664,NaN,3.6675130016261548e-09,1.4017504379459922e-09,8.253029015400926e-09,1.2648119510072497e-08,4.4817524552653865e-09,NaN
0.00092585385,0.117396876,0.0055427775,0.06592331,0.017321222,0.017533101,1.238975164130629e-08,6.236901883838186e-09,6.889462486614484e-09,6.127383392340313e-09,1.5799453884079995e-08,9.895154612360457e-09,0.010374561,0.017496333,0.024957418,0.0024571642,0.037812214,0.02087677,7.92553919715111e-09,1.4304947976162552e-08,9.023355769174901e-09,2.4343457666331503e-09,4.420483173950274e-09,6.5587334868721925e-09
0.011199474,0.052530874,0.021881431,0.12064576,0.018918842,0.07248949,6.1892694580567564e-09,6.892833685767652e-09,1.9268181911114013e-09,9.055914067246373e-09,6.826982895669076e-09,1.8154519540458658e-08,0.0059932396,0.008962656,0.03355551,0.021671189,0.03163442,0.01779541,6.222468984518059e-09,3.106533422864155e-09,1.4024443509286222e-08,4.050837132743568e-09,7.632258852696694e-09,1.7954845873968672e-09
0.016251646,0.12490843,NaN,0.11796128,0.08581892,0.23058592,6.402303409647203e-09,4.6741792103510704e-09,NaN,2.535684374277425e-09,1.1570926897186418e-08,1.775305252804671e-08,0.00691003,0.04031658,NaN,0.029724773,0.00870508,0.06292345,5.7691359814371346e-09,4.880475024116038e-09,NaN,2.7984731306579524e-08,1.1090883073050506e-08,7.868367943308918e-09
